company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
frame.ai,market Customer Support Tools stage Seed employees 1-10 location New York City,Customer Support Tools,New York City,angellist,market customer support tools stage seed employees 1 10 location new york city,frame.ai market customer support tools stage seed employees 1 10 location new york city Customer Support Tools,4,BPO / Telecom / Retail Operations,mixed,AI,3,HealthTech Startups,mostly_clean
Skejul,market Messaging stage  employees 1-10 location,Messaging,,angellist,market messaging stage employees 1 10 location,Skejul market messaging stage employees 1 10 location Messaging,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Altoida,market Medical Devices stage Seed employees 1-10 location Berlin,Medical Devices,Berlin,angellist,market medical devices stage seed employees 1 10 location berlin,Altoida market medical devices stage seed employees 1 10 location berlin Medical Devices,7,Pharma / Healthcare / Life Sciences,clean,HealthTech,3,HealthTech Startups,mostly_clean
Notify.io,market Messaging stage  employees 1-10 location San Francisco,Messaging,San Francisco,angellist,market messaging stage employees 1 10 location san francisco,Notify.io market messaging stage employees 1 10 location san francisco Messaging,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Chatalytic,market SaaS stage Seed employees 1-10 location San Francisco,SaaS,San Francisco,angellist,market saas stage seed employees 1 10 location san francisco,Chatalytic market saas stage seed employees 1 10 location san francisco SaaS,4,BPO / Telecom / Retail Operations,mixed,SaaS,3,HealthTech Startups,mostly_clean
DroneSeed,market Industrial Automation stage  employees 11-50 location Seattle,Industrial Automation,Seattle,angellist,market industrial automation stage employees 11 50 location seattle,DroneSeed market industrial automation stage employees 11 50 location seattle Industrial Automation,4,BPO / Telecom / Retail Operations,mixed,SaaS,4,Developer Tools / Infra,mixed
Profiscope,market Social Recruiting stage Seed employees 1-10 location San Francisco,Social Recruiting,San Francisco,angellist,market social recruiting stage seed employees 1 10 location san francisco,Profiscope market social recruiting stage seed employees 1 10 location san francisco Social Recruiting,4,BPO / Telecom / Retail Operations,mixed,B2C,3,HealthTech Startups,mostly_clean
TravelBala,market Hospitality stage  employees 1-10 location Taipei,Hospitality,Taipei,angellist,market hospitality stage employees 1 10 location taipei,TravelBala market hospitality stage employees 1 10 location taipei Hospitality,4,BPO / Telecom / Retail Operations,mixed,"AI, HealthTech",4,Developer Tools / Infra,mixed
Suggestv,market Semantic Search stage Seed employees 1-10 location London,Semantic Search,London,angellist,market semantic search stage seed employees 1 10 location london,Suggestv market semantic search stage seed employees 1 10 location london Semantic Search,4,BPO / Telecom / Retail Operations,mixed,Other,5,Marketplace / Creator Economy,mixed
RealBlocks,market Blockchains stage Seed employees 1-10 location New York City,Blockchains,New York City,angellist,market blockchains stage seed employees 1 10 location new york city,RealBlocks market blockchains stage seed employees 1 10 location new york city Blockchains,4,BPO / Telecom / Retail Operations,mixed,AI,3,HealthTech Startups,mostly_clean
WallSensor Technologies,market Internet of Things stage  employees 1-10 location Israel,Internet of Things,Israel,angellist,market internet of things stage employees 1 10 location israel,WallSensor Technologies market internet of things stage employees 1 10 location israel Internet of Things,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
